name,Fix,SMILES
Anabaenopeptin SA11,1,O=C(N[C@@H](CCC1=CC(Cl)=C(O)C=C1)C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CC2=CC=CC=C2)=O)C(NC([C@@H](CC)C)C(N[C@H]3CCC4=CC=C(O)C=C4)=O)=O)=O)CN(C)C3=O
Anabaenopeptin SA10,1,O=C(N[C@@H](CCC1=CC(Cl)=C(O)C=C1)C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CC2=CC=CC=C2)=O)C(N[C@H](C(C)C)C(N[C@H]3CCC4=CC=C(O)C=C4)=O)=O)=O)CN(C)C3=O
Nostopeptolide 1052,1,CC(N[C@@H]([C@H](C)CC)C(N[C@H]1COC([C@@H]2CCCN2C([C@@H](NC([C@@H](NC(CNC([C@H](NC(CC([C@@H](NC([C@@H]3C[C@@H](CN3C1=O)C)=O)CC(C)C)=O)=O)CC(C)C)=O)=O)CC(N)=O)=O)CC4=CC=C(C=C4)O)=O)=O)=O)=O
Nostamide B,1,O=C(NC(CCCCNC(C(CCC1=CC=CC=C1)NC(C(C)N2C)=O)=O)C(NC(C(C)CC)C(NC(C2=O)CCC3=CC=CC=C3)=O)=O)NC(C(O)=O)C(CC)C
Nostamide E,1,O=C(NC(CCCCNC(C(CC1=CC=CC=C1)NC(C(C)NC2=O)=O)=O)C(NC(C(C)CC)C(NC2CCC3=CC=CC=C3)=O)=O)NC(C(O)=O)C(CC)C
Nostamide D,1,O=C(NC(CCCCNC(C(CC1=CC=CC=C1)NC(C(C)N2C)=O)=O)C(NC(C(C)CC)C(NC(C2=O)CCC3=CC=CC=C3)=O)=O)NC(C(O)=O)C(C)C
Nostamide C,1,O=C(NC(CCCCNC(C(CC1=CC=CC=C1)NC(C(C)N2C)=O)=O)C(NC(C(C)C)C(NC(C2=O)CCC3=CC=CC=C3)=O)=O)NC(C(O)=O)C(CC)C
Pseudospumigin D,1,O=C(NC(C(N[C@H](C(NC(CCCNC(N)=N)C=O)=O)[C@@H](C)CC)=O)CCC1=CC=CC=C1)C(CC2=CC=C(C=C2)O)O
Pseudospumigin A,1,O=C(N[C@@H](C(N[C@H](C(NC(CCCNC(N)=N)C=O)=O)[C@@H](C)CC)=O)CCC1=CC=C(C=C1)O)C(CC2=CC=C(C=C2)O)O
Pseudospumigin E,1,O=C(C(O)CC1=CC=C(O)C=C1)NC(CCC2=CC=CC=C2)C(N[C@@H](CC(C)C)C(NC(C=O)CCCNC(N)=N)=O)=O
Pseudospumigin F,1,O=C(C(O)CC1=CC=C(O)C=C1)NC(CCC2=CC=CC=C2)C(N[C@@H](C(C)C)C(NC(C=O)CCCNC(N)=N)=O)=O
Pseudospumigin B,1,O=C(C(O)CC1=CC=C(O)C=C1)N[C@H](CCC2=CC=C(O)C=C2)C(N[C@@H](CC(C)C)C(NC(C=O)CCCNC(N)=N)=O)=O
Pseudospumigin C,1,O=C(C(O)CC1=CC=C(O)C=C1)N[C@H](CCC2=CC=C(O)C=C2)C(N[C@@H](C(C)C)C(NC(C=O)CCCNC(N)=N)=O)=O
Namalide D,1,O=C(C(C(C)CC)NC(C(CCCCN1)NC(NC(C(O)=O)C(CC)C)=O)=O)NC(C1=O)CCC2=CC=CC=C2
Namalide F,1,O=C(C(C(C)CC)NC(C(CCCCN1)NC(NC(C(O)=O)C(C)C)=O)=O)NC(C1=O)CCC2=CC=CC=C2
Namalide E,1,O=C(C(C(C)C)NC(C(CCCCN1)NC(NC(C(O)=O)C(CC)C)=O)=O)NC(C1=O)CCC2=CC=CC=C2
Nostocyclopeptide A2,1,CC[C@@H]([C@H]1C(N[C@@H](CO)C(N2C[C@@H](C)C[C@H]2C(N[C@@H](CC3=CC=CC=C3)/C=N\[C@@H](CC4=CC=C(O)C=C4)C(NCC(N[C@H](CCC(N)=O)C(N1)=O)=O)=O)=O)=O)=O)C
Nostocyclopeptide A3,1,CC[C@@H]([C@H]1C(N[C@@H](CO)C(N2C[C@@H](C)C[C@H]2C(N[C@@H](CC3=CC=C(C)C=C3)/C=N\[C@@H](CC4=CC=C(O)C=C4)C(NCC(N[C@H](CCC(N)=O)C(N1)=O)=O)=O)=O)=O)=O)C
Nostocyclopeptide A1,1,CC[C@@H]([C@H]1C(N[C@@H](CO)C(N2C[C@@H](C)C[C@H]2C(N[C@@H](CC(C)C)/C([H])=N/[C@@H](CC3=CC=C(O)C=C3)C(NCC(N[C@H](CCC(N)=O)C(N1)=O)=O)=O)=O)=O)=O)C
Microviridin G,1,CC(N[C@H](C(N1CCC[C@H]1C(N[C@H](C(N[C@@H]([C@@H](C)OC(C[C@H](NC2=O)C(N[C@@H](CC3=CNC4=C3C=CC=C4)C(N[C@@H](CCC(OC[C@@H]2NC5=O)=O)C(N[C@H](C(N[C@@H](CC6=CC=C(O)C=C6)C(O)=O)=O)CCC(NCCCC[C@@H](C(N[C@@H](CC7=CC=C(O)C=C7)C(N8CCC[C@H]85)=O)=O)NC9=O)=O)=O)=O)=O)=O)C(N[C@H]9CC(C)C)=O)=O)CCC(N)=O)=O)=O)CC%10=CC=C(O)C=C%10)=O                                                                                                                                                                                                                                                                                              
Microviridin H,1,CC(N[C@H](C(N1CCC[C@H]1C(N[C@H](C(N[C@@H]([C@@H](C)OC(C[C@H](NC2=O)C(N[C@@H](CC3=CNC4=C3C=CC=C4)C(N[C@@H](CCC(OC)=O)C(N[C@H](C(N[C@@H](CC5=CC=C(O)C=C5)C(O)=O)=O)CCC(NCCCC[C@@H](C(N[C@@H](CC6=CC=C(O)C=C6)C(N7CCC[C@H]7C(N[C@H]2CO)=O)=O)=O)NC8=O)=O)=O)=O)=O)=O)C(N[C@H]8CC(C)C)=O)=O)CCC(N)=O)=O)=O)CC9=CC=C(O)C=C9)=O                                                                                                                                                                        
Nostopeptin A,1,C[C@@H](CC)[C@H]1C(OC2C(C(NC(C(NC3CCC([N@](C3=O)[C@@H](C(N([C@H](C(N1)=O)CC4=CC=C(C=C4)O)C)=O)[C@H](CC)C)O)=O)CC(C)C)=O)N(C([C@H](CCC(N)=O)NC(CCC)=O)=O)CC2C)=O
Nostopeptin B,1,C[C@@H](CC)[C@H]1C(OC2C(C(NC(C(NC3CCC([N@](C3=O)[C@@H](C(N([C@H](C(N1)=O)CC4=CC=C(C=C4)O)C)=O)[C@H](CC)C)O)=O)CC(C)C)=O)N(C([C@H](CCC(N)=O)NC(C)=O)=O)CC2C)=O
Nodulapeptin 881a,1,O=C(N(C(CCC1=CC=CC=C1)C(NC(COC(C)=O)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3
[MeHph5] Nodulapeptin B,1,O=C(N(C(CCC1=CC=CC=C1)C(NC(COC(C)=O)C2=O)=O)C)C(NC(C(CCS(C)=O)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3
Nodulapeptin 839,1,O=C(N(C(CCC1=CC=CC=C1)C(NC(CO)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3
Nodulapeptin 883a,1,O=C(N(C(CCC1=CC=CC=C1)C(NC(CCSC)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3
Nodulapeptin C,1,O=C(N(C(CCC1=CC=C(O)C=C1)C(NC(COC(C)=O)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3
Nodulapeptin 879,1,O=C(N(C(CCC1=CC=C(O)C=C1)C(NC(COC(C)=O)C2=O)=O)C)C(NC(C(C(CC)C)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3
Nodulapeptin 855a,1,O=C(N(C(CCC1=CC=C(O)C=C1)C(NC(CO)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3
[Ser6] Nodulapeptin B,1,O=C(N(C(CCC1=CC=C(O)C=C1)C(NC(CO)C2=O)=O)C)C(NC(C(CCS(C)=O)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3
[Met6] Nodulapeptin C,1,O=C(N(C(CCC1=CC=C(O)C=C1)C(NC(CCSC)C2=O)=O)C)C(NC(C(CCSC)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3
Nodulapeptin 881b,1,O=C(N(C(CCC1=CC=C(O)C=C1)C(NC(CCSC)C2=O)=O)C)C(NC(C(C(CC)C)NC(C(CCCCN2)NC(NC(C(CC)C)C(O)=O)=O)=O)=O)CCC3=CC=CC=C3
Aeruginosin NOL3,1,CCCCCC(N[C@H](C(N([C@H](C(NC(CO)CCCNC(N)=N)=O)C1)[C@@H]2[C@H]1CCC(O)C2)=O)CC3=CC=C(O)C=C3)=O
Aeruginosin NAL2,1,CCCCCC(N[C@H](C(N([C@H](C(NC(C=O)CCCNC(N)=N)=O)C1)[C@@H]2[C@H]1CCC(O)C2)=O)CC3=CC=C(O)C=C3)=O
Spumigin G,1,C[C@H]1C[C@H](N(C1)C(=O)[C@@H](CCC2=CC=CC=C2)NC(=O)[C@@H](CC3=CC=C(C=C3)O)O)C(=O)NC(CCCN=C(N)N)C=O
Spumigin E,1,C[C@H]1C[C@H](N(C1)C(=O)[C@@H](CCC2=CC=C(C=C2)O)NC(=O)[C@@H](CC3=CC=C(C=C3)O)O)C(=O)NC(CCCN=C(N)N)C=O
NOD-Har,1,C/C=C1C(N[C@@H](C(O)=O)[C@H](C)C(N[C@@H](CCCC/N=C(N)\N)C(N[C@@H](/C=C/C(C)=C/[C@@H]([C@@H](OC)CC2=CC=CC=C2)C)[C@H](C)C(N[C@@H](C(O)=O)CCC(N/1C)=O)=O)=O)=O)=O                                 
Aeruginosin 98B,0,OC1=CC=C(CC(O)C(N[C@H]([C@H](C)CC)C(N2C(C(NCCCCNC(N)=N)=O)CC3C2CC(OS(=O)(O)=O)CC3)=O)=O)C=C1
Aeruginosin 98C,0,OC1=CC=C(C[C@@H](O)C(N[C@H]([C@@H](C)CC)C(N2[C@H](C(NCCCCNC(N)=N)=O)C[C@H]3[C@@H]2C[C@H](OS(=O)(O)=O)CC3)=O)=O)C=C1Br
Aeruginosin 298A,0,OC1=CC=C(C[C@@H](O)C(N[C@@H](C(N2[C@H](C(N[C@@H](CCCNC(N)=N)CO)=O)C[C@@]3([H])[C@]2([H])C[C@H](O)CC3)=O)CC(C)C)=O)C=C1
Aeruginosin 298B ,0,OC1=CC=C(C[C@@H](O)C(N[C@@H](C(N2[C@H](C(N)=O)C[C@H]3[C@@H]2C[C@H](O)CC3)=O)CC(C)C)=O)C=C1
Aeruginosin 98A,0,OC1=C(Cl)C=C(CC(O)C(N[C@H]([C@H](C)CC)C(N2C(C(NCCCCNC(N)=N)=O)CC3C2CC(OS(=O)(O)=O)CC3)=O)=O)C=C1
Micropeptin 88N,0,OC([C@@H](NC([C@H](NC(CCC)=O)CC(C)C)=O)CCC(N[C@@H]1C(N[C@H](C(N[C@@H](CC[C@H]2O)C(N2[C@H](C(N([C@H](C(N[C@H](C(O[C@H]1C)=O)[C@H](C)CC)=O)CC3=CC=CC=C3)C)=O)C(C)C)=O)=O)CC(C=C4)=CC=C4O)=O)=O)=O
Micropeptin 88F,0,O=C(CCC)N[C@H](C(N[C@H](C(OC)=O)CCC(N[C@@H]1C(N[C@H](C(N[C@@H](CC[C@H]2O)C(N2[C@@H](C(N([C@H](C(N[C@H](C(O[C@H]1C)=O)[C@H](CC)C)=O)CC3=CC=CC=C3)C)=O)C(C)C)=O)=O)CC4=CC=C(O)C=C4)=O)=O)=O)CC5=CC=C(O)C=C5
Aeruginosin 102A,0,O[C@@H](C(N[C@H](CC1=CC=C(O)C=C1)C(N2C(C(N[C@@H]3C(O)N(C(N)=N)CCC3)=O)CC4C2CC(O)CC4)=O)=O)CC5=CC=C(OS(=O)(O)=O)C=C5
Cyanopeptolin 963A,0,CCCCCC(N[C@H](C(N[C@H]1[C@H](C)OC([C@H](C(C)C)NC([C@H](CC2=CC=CC=C2)N(C)C([C@H](CC(C)C)N3[C@H](O)CC[C@H](NC([C@H](CC4=CC=C(O)C=C4)NC1=O)=O)C3=O)=O)=O)=O)=O)CC(O)=O)=O
Cyanopeptolin A,0,CCCCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](N2[C@@H](CC[C@@H](C2=O)NC(=O)[C@@H](NC1=O)CCCN=C(N)N)O)CC(C)C)C)CC3=CC=CC=C3)C(C)C)C
Cyanopeptolin C,0,CCCCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](N2[C@@H](CC[C@@H](C2=O)NC(=O)[C@@H](NC1=O)CCCCNC)O)CC(C)C)C)CC3=CC=CC=C3)C(C)C)C
Cyanopeptolin B,0,CCCCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](N2[C@@H](CC[C@@H](C2=O)NC(=O)[C@@H](NC1=O)CCCCN)O)CC(C)C)C)CC3=CC=CC=C3)C(C)C)C
Cyanopeptolin D,0,CCCCCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](N2[C@@H](CC[C@@H](C2=O)NC(=O)[C@@H](NC1=O)CCCCN(C)C)O)CC(C)C)C)CC3=CC=CC=C3)C(C)C)C
Micropeptin 88D,0,CCCC(N[C@@H](CC1=CC=C(C=C1)O)C(N[C@@H](CCC(N[C@H]2[C@@H](OC([C@@H](NC([C@@H](N(C([C@@H](N3[C@@H](CC[C@@H](C3=O)NC([C@@H](NC2=O)CC4CCC(C=C4)O)=O)O)C(C)C)=O)C)CC5=CC=CC=C5)=O)[C@@H](C)CC)=O)C)=O)C(O)=O)=O)=O
Aerucyclamide B,0,CC[C@H](C)[C@H]1C2=N[C@@H]([C@H](O2)C)C(=O)NCC3=NC(=CS3)C(=O)N[C@@H](C4=NC(=CS4)C(=O)N1)[C@@H](C)CC
Aerucyclamide A,0,CC[C@H](C)[C@H]1C2=N[C@@H]([C@H](O2)C)C(=O)NCC3=NC(=CS3)C(=O)N[C@@H](C4=N[C@H](CS4)C(=O)N1)[C@@H](C)CC
Aerucyclamide C,0,CC[C@H](C)[C@@H]1C2=NC(=CS2)C(=O)N[C@H](C3=N[C@@H]([C@H](O3)C)C(=O)N[C@H](C4=NC(=CO4)C(=O)N1)C(C)C)C
Microcyclamide 7806B,0,CC[C@H](C)[C@@H]1C2=NC(=CS2)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C3=NC(=CO3)C(=O)N1)C(C)C)[C@@H](C)O)C
Micropeptin 88Y,0,CC[C@H]([C@@H]1C(O[C@@H](C)[C@H](NC(CC[C@H](NC([C@H](NC(C)=O)CC2=CC=C(O)C=C2)=O)C(O)=O)=O)C(N[C@@H](CC3=CC=C(O)C=C3)C(N[C@H]4CC[C@@H](O)N([C@@H](C(C)C)C(N(C)[C@@H](CC5=CC=CC=C5)C(N1)=O)=O)C4=O)=O)=O)=O)C
Micropeptin 88A,0,CC[C@@H](C1C(O[C@@H](C)[C@H](NC(CCC(N)C(O)=O)=O)C(N[C@@H](CC2CCC(O)C=C2)C(N[C@H]3CC[C@@H](O)N([C@@H](C(C)C)C(N(C)[C@@H](CC4=CC=CC=C4)C(N1)=O)=O)C3=O)=O)=O)=O)C
Microviridin B,0,CC(N[C@H](C(NCC(N[C@H](C(N[C@@H]([C@@H](C)OC(C[C@H](NC1=O)C(N[C@@H](CC2=CC(C=CC=C3)=C3N2)C(N[C@@H](CCC(OC[C@@H]1NC4=O)=O)C(N[C@H](C(N[C@@H](CC5=CC=C(O)C=C5)C(O)=O)=O)CCC(NCCCC[C@@H](C(N[C@@H](CC6=CC=C(O)C=C6)C(N7CCC[C@H]74)=O)=O)NC8=O)=O)=O)=O)=O)=O)C(N[C@H]8CC(C)C)=O)=O)[C@H](O)C)=O)=O)CC9=CC=CC=C9)=O                                                                                                                                                                                                                      
Microviridin C,0,CC(N[C@H](C(NCC(N[C@H](C(N[C@@H]([C@@H](C)OC(C[C@H](NC1=O)C(N[C@@H](CC2=CC(C=CC=C3)=C3N2)C(N[C@@H](CCC(OC)=O)C(N[C@H](C(N[C@@H](CC4=CC=C(O)C=C4)C(O)=O)=O)CCC(NCCCC[C@@H](C(N[C@@H](CC5=CC=C(O)C=C5)C(N6CCC[C@H]6C(N[C@H]1CO)=O)=O)=O)NC7=O)=O)=O)=O)=O)=O)C(N[C@H]7CC(C)C)=O)=O)[C@H](O)C)=O)=O)CC8=CC=CC=C8)=O
Kasumigamide,0,C1=CC=C(C=C1)C[C@H](C(=O)NCCC(=O)N[C@H](CC2=CNC3=CC=CC=C32)[C@H](CC(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H]([C@@H](C4=CC=CC=C4)O)C(=O)O)O)O
Aeruginosamide B,0,C=CC(C)(C)N[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC2=CC=CC=C2)C(N3CCCC3C4=NC(C(OC)=O)=CS4)=O)=O
Aeruginosamide C,0,C=CC(C)(C)N[C@@H](CC1=CC=CC=C1)C(N[C@@H](CC2=CC=CC=C2)C(N3CCC[C@H]3C(N[C@@H](C4=NC(C(OC)=O)=CS4)C(C)C)=O)=O)=O
Micropeptin 88B,0,C[C@H](OC([C@H]([C@H](CC)C)NC([C@H](CC1=CC=CC=C1)N(C)C([C@H](C(C)C)N2C([C@H](CC[C@H]2O)NC3=O)=O)=O)=O)=O)[C@H](NC(CC[C@@H](C(O)=O)NC([C@H](CC4=CC=C(C=C4)O)NC(CCC)=O)=O)=O)C(N[C@H]3CCC(O)=O)=O
Micropeptin 88C,0,C[C@H](OC([C@H]([C@H](CC)C)NC([C@H](CC1=CC=CC=C1)N(C)C([C@H](C(C)C)N2C([C@H](CC[C@H]2O)NC3=O)=O)=O)=O)=O)[C@H](NC(CC[C@@H](C(O)=O)NC([C@H](CC4=CC=C(C=C4)O)NC(CCC)=O)=O)=O)C(N[C@H]3CC5=CC=C(C=C5)O)=O
Micropeptin 88E,0,C[C@H](OC([C@H]([C@H](CC)C)NC([C@H](CC1=CC=CC=C1)N(C)C([C@H](C(C)C)N2C([C@H](CC[C@H]2O)NC3=O)=O)=O)=O)=O)[C@H](NC(CC[C@@H](C(O)=O)NC([C@H](CC4=CC=C(C=C4)O)NC(CCC)=O)=O)=O)C(N[C@H]3CC(C)C)=O
Kawaguchipeptin A,0,C[C@H]([C@H]1C(=O)N2CCC[C@H]2C(=O)N3[C@@H](C[C@@]4([C@H]3NC5=CC=CC=C54)CC=C(C)C)C(=O)N[C@@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N6[C@@H](C[C@@]7([C@H]6NC8=CC=CC=C87)CC=C(C)C)C(=O)N[C@H](C(=O)N1)CO)CC(=O)N)CC(=O)N)CC(=O)O)CC(=O)N)CC(C)C)O
Aerucyclamide D,0,C[C@@H]1[C@H]2C(=O)NCC3=NC(=CS3)C(=O)N[C@H](C4=N[C@@H](CS4)C(=O)N[C@H](C(=N2)O1)CC5=CC=CC=C5)CCSC
Kawaguchipeptin B,0,C[C@@H](O)[C@H]1C(N2CCC[C@H]2C(N[C@@H](CC3=CNC4=CC=CC=C43)C(N[C@@H](CC(C)C)C(N[C@@H](CC(N)=O)C(NCC(N[C@@H](CC(O)=O)C(N[C@@H](CC(N)=O)C(N[C@@H](CC(N)=O)C(N[C@@H](CC5=CNC6=CC=CC=C65)C(N[C@@H](CO)C(N1)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O
Aeruginoguanidin 98A,0,C[C@@H](NC([C@@H](N(C([C@@H](NC)CCCNC(NC/C=C(CC/C=C(C)\C)/C)=N)=O)C)CCCNC(NC/C=C(C)/C)=N)=O)[C@H](OS(=O)(O)=O)C1=CC(COS(=O)(O)=O)=C(OS(=O)(O)=O)C=C1
"[D-Ser1,D-Asp3,Dha7]MC-LR",0,C[C@@H](\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)C[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CO)NC(=O)C(=C)NC(=O)CC[C@@H](NC(=O)[C@H]1C)C(=O)O)C(=O)O)[C@H](Cc1ccccc1)OC
Aeruginoguanidin 98C,0,C/C(CCC(O)C(C)=C)=C/CNC(NCCC[C@H](NC)C(N([C@H](C(N[C@H](C)[C@H](OS(=O)(O)=O)C1=CC=C(OS(=O)(O)=O)C(COS(=O)(O)=O)=C1)=O)CCCNC(NC/C=C(C)/C)=N)C)=O)=N
Cylindrofridin A,1,CCCCC(CCCC[C@H](C)[C@H](C1=CC(=CC(=C1)O)O)OC(=O)C)Cl
Cylindrofridin C,1,CCCC[C@@H](CCCC[C@H](C)[C@H](C1=CC(=CC(=C1)O)O)OC(=O)C)C2=C(C=C(C=C2O)[C@@H]([C@@H](C)CCCCC(CCCC)Cl)OC(=O)C)O
Cylindrofridin B,1,CCCC[C@@H](CCCC[C@H](C)[C@H](C1=CC(=CC(=C1)O)O)OC(=O)C)C2=C(C=C(C=C2O)[C@@H]([C@@H](C)CCCCC(CCCC)Cl)O)O
"Mycosporine glycine 
",1,COC1=C(NCC(O)=O)C[C@](CO)(O)CC1=O
Anachelin,1,OC(CC(O)C1N=C(C2=CC=CC=C2O)OC1)CC(N[C@@H]([C@H](O)C)C(N[C@H](CO)C(N[C@@H](CO)C(NC3CC(C=C(O)C(O)=C4)=C4[N+](C)(C)C3)=O)=O)=O)=O
Anachelin-2,1,OC(CC(N[C@@H]([C@H](O)C)C(N[C@H](CO)C(N[C@@H](CO)C(NC1CC(C=C(O)C(O)=C2)=C2[N+](C)(C)C1)=O)=O)=O)=O)CC3OC(C4=CC=CC=C4O)=NC3CO
Schizokinen,1,O=C(CC(CC(NCCCN(C(C)=O)O)=O)(C(O)=O)O)NCCCN(C(C)=O)O
Dehydroradiosumin,1,CC(N[C@H]1CC/C(C=C1)=C/[C@H](NC([C@@H](NC(C)=O)/C=C2CC[C@@H](N)C=C\2)=O)C(O)=O)=O
"(3R,2'S)-myxol 2'-fucoside",1,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O[C@@H](CC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C2=C(C[C@H](CC2(C)C)O)C)/C)/C)/C)C(C)(C)O)O)O)O                                                             
"(3S,2'S)-4-ketomyxol 2'-fucoside",1,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O[C@@H](CC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C2=C(C(=O)[C@H](CC2(C)C)O)C)/C)/C)/C)C(C)(C)O)O)O)O                                                          
